name,full_name
totalconfflunewadmpedper,Percent Hospitals Reporting Pediatric Influenza Admissions
totalconfflunewadmadultp,Percent Hospitals Reporting Adult Influenza Admissions
totalconfflunewadmperchosprep,Percent Hospitals Reporting Influenza Admissions
totalconfrsvnewadmpedper,Percent Hospitals Reporting Pediatric RSV Admissions
totalconfrsvnewadmadultp,Percent Hospitals Reporting Adult RSV Admissions
totalconfrsvnewadmperchosprep,Percent Hospitals Reporting RSV Admissions
pctinptbedsoccperchosprep,Percent Hospitals Reporting Percent Inpatient Beds Occupied
pcticubedsoccperchosprep,Percent Hospitals Reporting Percent ICU Beds Occupied
pctconfc19inptbedsperchosprep,Percent Hospitals Reporting Percent Inpatient Beds Occupied by COVID-19 Patients
pctconffluinptbedsperchosprep,Percent Hospitals Reporting Percent Inpatient Beds Occupied by Influenza Patients
pctconfrsvinptbedsperchosprep,Percent Hospitals Reporting Percent Inpatient Beds Occupied by RSV Patients
pctconfc19icubedsperchosprep,Percent Hospitals Reporting Percent ICU Beds Occupied by COVID-19 Patients
pctconffluicubedsperchosprep,Percent Hospitals Reporting Percent ICU Beds Occupied by Influenza Patients
pctconfrsvicubedsperchosprep,Percent Hospitals Reporting Percent ICU Beds Occupied by RSV Patients
numinptbedsperchosprepabschg,Absolute Change in the Percent Hospitals Reporting Number of Inpatient Beds from Prior Week
numinptbedsoccperchospre,Absolute Change in the Absolute Change in the Percent Hospitals Reporting Number of Inpatient Beds Occupied from Prior Week
numicubedsperchosprepabschg,Absolute Change in the Percent Hospitals Reporting Number of ICU Beds from Prior Week
numicubedsoccperchosprepabschg,Absolute Change in the Percent Hospitals Reporting Number of ICU Beds Occupied from Prior Week
totalconfc19hosppatsperc_1,Absolute Change in the Percent Hospitals Reporting Total Patients Hospitalized with COVID-19 from Prior Week
totalconffluhosppatsperc_1,Absolute Change in the Percent Hospitals Reporting TotalPatients Hospitalized with Influenza from Prior Week
totalconfrsvhosppatsperc_1,Absolute Change in the Percent Hospitals Reporting Total Patients Hospitalized with RSV from Prior Week
totalconfc19icupatsperch,Absolute Change in the Percent Hospitals Reporting ICU Patients Hospitalized with COVID-19 from Prior Week
totalconffluicupatsperch,Absolute Change in the Percent Hospitals Reporting ICU Patients Hospitalized with Influenza from Prior Week
totalconfrsvicupatsperch,Absolute Change in the Percent Hospitals Reporting ICU Patients Hospitalized with RSV from Prior Week
totalconfc19newadmpedper_1,Absolute Change in the Percent Hospitals Reporting Pediatric COVID-19 Admissions from Prior Week
totalconfc19newadmadultp_1,Absolute Change in the Percent Hospitals Reporting Adult COVID-19 Admissions from Prior Week
totalconfc19newadmpercho,Absolute Change in the Percent Hospitals Reporting COVID-19 Admissions from Prior Week
totalconfflunewadmpedper_1,Absolute Change in the Percent Hospitals Reporting Pediatric Influenza Admissions from Prior Week
totalconfflunewadmadultp_1,Absolute Change in the Percent Hospitals Reporting Adult Influenza Admissions from Prior Week
totalconfflunewadmpercho,Absolute Change in the Percent Hospitals Reporting  Influenza Admissions from Prior Week
totalconfrsvnewadmpedper_1,Absolute Change in the Percent Hospitals Reporting Pediatric RSV Admissions from Prior Week
totalconfrsvnewadmadultp_1,Absolute Change in the Percent Hospitals Reporting Adult RSV Admissions from Prior Week
totalconfrsvnewadmpercho,Absolute Change in the Percent Hospitals Reporting RSV Admissions from Prior Week
pctinptbedsoccperchospre,Absolute Change in the Percent Hospitals Reporting Percent Inpatient Beds Occupied from Prior Week
pcticubedsoccperchosprepabschg,Absolute Change in the Percent Hospitals Reporting Percent ICU Beds Occupied from Prior Week
pctconfc19inptbedspercho,Absolute Change in the Percent Hospitals Reporting Percent Inpatient Beds Occupied by COVID-19 Patients from Prior Week
pctconffluinptbedspercho,Absolute Change in the Percent Hospitals Reporting Percent Inpatient Beds Occupied by Influenza Patients from Prior Week
pctconfrsvinptbedspercho,Absolute Change in the Percent Hospitals Reporting Percent Inpatient Beds Occupied by RSV Patients from Prior Week
pctconfc19icubedsperchos,Absolute Change in the Percent Hospitals Reporting Percent ICU Beds Occupied by COVID-19 Patients from Prior Week
pctconffluicubedsperchos,Absolute Change in the Percent Hospitals Reporting Percent ICU Beds Occupied by Influenza Patients from Prior Week
pctconfrsvicubedsperchos,Absolute Change in the Percent Hospitals Reporting Percent ICU Beds Occupied by RSV Patients from Prior Week
